NIF,Filial propietaria directa,Inmuebles,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
B84293299,"ANMAR & MARAL, S.L.",120,Anmar y Maral SL,España,Anmar y Maral SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A82953092,"AP67 SOCIMI, S.A.",193,AP67 Socimi SA,España,AP67 Socimi SA,España,Socimi,NA,Inmobiliaria,NA,https://ap67socimi.com/,NA,NA,NA,NA,NA,NA,NA
B82388240,"APARTAMENTOS TUCUMAN, S.L.",59,Apartamentos Tucuman SL,España,Apartamentos Tucuman SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B22002547,"ARAGONESAS PROM. DE OBRAS Y CONSTRUCIONES, S.L.",66,Aragonesas Promoción de Obras y Construcciones,España,Aragonesas Promoción de Obras y Construcciones,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09658634,"AREF THÉTHYS, S.L.U.",624,Axa,Francia,Aref Holding S.C.A.,Luxemburgo,Socimi,NA,Seguros,NA,https://www.arefthalassasocimi.com/,https://www.arefthalassasocimi.com/document/5498/view,NA,NA,NA,NA,NA,NA
B95485421,ARRALDE INVERSIONES S.L.,50,Arralde Inversiones SL,España,Arralde Inversiones SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28350627,"ARRENDAMIENTOS COTANES, S.L.",206,La Invencible Sabina Inversiones,España,La Invencible Sabina Inversiones,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/08/06/pdfs/BORME-A-2019-149-28.pdf,NA,NA,NA,NA,NA,NA,NA
B88275516,"ARRENDAMIENTOS QUINTANA, S.L.U.",151,Víctor Pradera 37 SL,España,Víctor Pradera 37 SL,España,Empresa privada,NA,Entidades financieras,Intermediarios financieros,https://www.boe.es/borme/dias/2019/02/14/pdfs/BORME-A-2019-31-28.pdf,NA,NA,NA,NA,NA,NA,NA
A88044276,ARRIENDA GESTIÓN S.A,132,Helvetia,Suiza,Caser Seguros,España,Empresa privada,NA,Seguros,NA,https://www.boe.es/borme/dias/2018/04/19/pdfs/BORME-A-2018-76-28.pdf,https://www.caser.es/politica-de-privacidad,https://www.helvetia.com/corporate/web/en/home.html,NA,NA,NA,NA,NA
B82863218,"ARROYO DE LOS PRADOS, S.L.",101,Arroyo de los Prados SL,España,Arroyo de los Prados SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B47042262,ARTICA XXI SL,65,Artica XXI SL,España,Artica XXI SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
G28239747,ASOC. PRO-HUERFANOS DE LA GUARDIA CIVIL,502,Guardia Civil,España,ASOC. PRO-HUERFANOS DE LA GUARDIA CIVIL,España,Asociaciones,Administración central,Otros,Fuerzas de seguridad del Estado,https://www.aphgc.es/wp-content/uploads/Reglamento.pdf,NA,NA,NA,NA,NA,NA,NA
G81568073,ASOC. VECINOS PROVIVIENDAS SOCIALES DE TORREJON DE ARDOZ,107,Asoc. Vecinos Proviviendas Sociales de Torrejón de Ardoz,España,Asoc. Vecinos Proviviendas Sociales de Torrejón de Ardoz,España,Asociaciones,NA,Otros,Asociación de vecinos,NA,NA,NA,NA,NA,NA,NA,NA
G28727154,ASOCIACIÓN DE LA VOT DE SAN FRANCISCO DE ASÍS,294,Asociación de la venerable orden tercera de San Francisco de Asís,España,Asociación de la venerable orden tercera de San Francisco de Asís,España,Entidades religiosas,NA,Entidades religiosas,NA,NA,NA,NA,NA,NA,NA,NA,NA
B81629701,"AVANCE URBANO, S.L.",58,Empresas Tora 2003 SL,España,Empresas Tora 2003 SL,España,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2023/02/17/pdfs/BORME-A-2023-34-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28027878,"AVICOLA DEL JARAMA, S.A.",98,Avícola del Jarama,España,Avícola del Jarama,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86045523,AVINTIA DESARROLLOS INMOBILIARIOS SL,82,Patrimonios Jivar 2000 SL,España,Patrimonios Jivar 2000 SL,España,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2011/01/13/pdfs/BORME-A-2011-8-28.pdf,https://www.boe.es/borme/dias/2016/03/16/pdfs/BORME-A-2016-52-28.pdf,NA,NA,NA,NA,NA,NA
P2808000J,AYUNTAMIENTO DE MAJADAHONDA,117,Ayuntamiento de Majadahonda,España,Ayuntamiento de Maajdahonda,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2811500D,AYUNTAMIENTO DE POZUELO DE ALARCON,127,Ayuntamiento de Pozuelo de Alarcón,España,AYUNTAMIENTO DE POZUELO DE ALARCON,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
B92788819,AZATA,65,Azata,España,Azata,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84855329,AZATA RENTA,852,Azata,España,Azata,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A48265169,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",146,BBVA,España,BBVA,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
A15011489,"BANCO CASTILLA-LA MANCHA, S.A.",50,Unicaja,España,Unicaja,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
A28000727,"BANCO POPULAR ESPAÑOL, S.A.",182,Banco Santanter,España,Banco Santanter,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
A08000143,BANCO SABADELL S.A.,326,Banco Sabadell,España,Banco Sabadell,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
A39000013,"BANCO SANTANDER, S.A.",388,Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
A14010342,BANKIA S.A.,174,CaixaBank,España,Bankia,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/04/06/pdfs/BORME-A-2021-63-46.pdf,NA,NA,NA,NA,NA,NA,NA
B82016734,"BATTENSER, S.L.",63,Battenser SL,España,Battenser SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87906624,"BERF SPAIN MADRID VILLAVERDE, S.L.",171,Catella Real Estate AG,Alemania,Catella Real Estate AG,Alemania,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2018/02/05/pdfs/BORME-A-2018-25-28.pdf,NA,NA,NA,NA,NA,NA,NA
A78485752,"BEYOS Y PONGA, S.A",93,Unicaja,España,Unicaja,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2014/05/21/pdfs/BORME-A-2014-94-28.pdf,https://www.boe.es/borme/dias/2021/08/11/pdfs/BORME-A-2021-153-28.pdf,NA,NA,NA,NA,NA,NA
B88441167,"BHI GESTIÓN COLMENAR, S.L.",169,Básico Homes Inversiones,España,Básico Homes Inversiones,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/08/08/pdfs/BORME-A-2019-151-28.pdf,NA,NA,NA,NA,NA,NA,NA
B81895500,"BOANORTE,S.L.",107,Boanorte SL,España,Boanorte SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85642254,"BRASANCO, S.L.",278,Brasanco,España,Brasanco,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87467841,"BRULEMAR REAL ESTATE, S.L.",145,Brulemar Real Estate,España,Brulemar Real Estate,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A63106157,"BUILDINGCENTER, S.A.U.",1927,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://buildingcenter.es/es/home-es/,https://www.boe.es/borme/dias/2012/10/16/pdfs/BORME-A-2012-199-08.pdf,NA,NA,NA,NA,NA,NA
B84331156,"BURGO DE BUENAVISTA GESTIÓN, S.L.",72,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2020/03/24/pdfs/BORME-A-2020-58-28.pdf,https://www.boe.es/borme/dias/2019/04/03/pdfs/BORME-A-2019-65-28.pdf,https://www.boe.es/borme/dias/2018/06/21/pdfs/BORME-A-2018-118-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34
B28653301,"BYRSA ASESORES INMOBILIARIOS, S.L.U.",90,Byrsa Asesores Inmobiliarios SLU,España,Byrsa Asesores Inmobiliarios SLU,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E80717911,C.B. LUIS MANUEL MONTALBAN GUILLEN,165,CB Luis Montalbán Guillén,España,CB Luis Montalbán Guillén,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
E80839467,C.B.GALERÍA COMERCIAL LOS VALLES,51,CB Galería Comercial Los Vallas,España,CB Galería Comercial Los Vallas,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
A28951283,C.C. BURGO DE LAS ROZAS S.A.,107,C.C. Burgo de las Rozas SA,España,C.C. Burgo de las Rozas SA,España,Empresa privada,NA,Centros comerciales y mercados,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28505329,"CADE, S.L.",54,Cade SL,España,Cade SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28199669,"CADEL, S.A.",68,Cadel SA,España,Cadel SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A08663619,"CAIXABANK, S.A.",104,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA,NA,NA
B79346656,CALAKLA S.L.,78,Calakla SL,España,Calakla SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86613775,"CAMINOS DE PASOL, S.L.",62,Promotora General Pirenaica SA,España,Promotora General Pirenaica SA,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2013/01/25/pdfs/BORME-A-2013-17-28.pdf,NA,NA,NA,NA,NA,NA,NA
B84193721,"CAMPORREDONDO-PUERTA HIERRO SEIS, S.L.",97,Camporredondo-Puerta Hierro Seis SL,España,Camporredondo-Puerta Hierro Seis SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82852815,CANTOS AZULES SL,55,Cantos Azules SL,España,Cantos Azules SL,España,Empresa privada,NA,Otros,Explotación agrícola,https://www.boe.es/borme/dias/2011/09/28/pdfs/BORME-A-2011-185-28.pdf,NA,NA,NA,NA,NA,NA,NA
B87305801,"CARLOTTA IBERIA, S.L.",89,Compagnie de Phalsbourg SL,Francia,Compañía de Phalsbourg SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2015/06/19/pdfs/BORME-A-2015-114-28.pdf,https://www.compagniedephalsbourg.com/gouvernance/,NA,NA,NA,NA,NA,NA
B86772837,"CARMILA ESPAÑA, S.L.U.",309,Carrefour,Francia,Carmila SA,España,Empresa privada,NA,Centros comerciales y mercados,NA,https://www.carmila.com/wp-content/uploads/2023/02/23_02_15-CP-Carmila-FY-2022_eng.pdf,https://www.boe.es/borme/dias/2018/08/03/pdfs/BORME-A-2018-149-28.pdf,https://www.cnmc.es/sites/default/files/2629738_0.pdf,NA,NA,NA,NA,NA
B84227388,"CARREFOUR PROPERTY ESPAÑA, S.L.",72,Carrefour,Francia,Carrefour,Francia,Empresa privada,NA,Centros comerciales y mercados,NA,NA,NA,NA,NA,NA,NA,NA,NA
B79914628,CASLILLA S.A.,61,Caslilla SA,España,Caslilla SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B80361090,"CASPIMA, S.L.",51,Caspima SL,España,Caspima SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A81794778,CASTELLANA 2000 VIVIENDAS DE MADRID S.A.,52,Castellana 2000 Viviendas de Madrid SA,España,Castellana 2000 Viviendas de Madrid SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28658847,CASTELLANA DE INMUEBLES Y COMERC. S.A.,70,Castellana de Inmuebles Comerciales SA,España,Castellana de Inmuebles Comerciales SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28095974,"CASVOZ, S.A.",58,Casvoz SA,España,Casvoz SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B88158134,"CATELLA ERF SPAIN 02, S.L.U.",164,Catella Real Estate AG,Alemania,Catella Real Estate AG,Alemania,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2019/11/22/pdfs/BORME-A-2019-225-28.pdf,https://www.boe.es/borme/dias/2018/12/27/pdfs/BORME-A-2018-247-28.pdf,NA,NA,NA,NA,NA,NA
B87646501,"CATELLA WE 02 SPAIN, S.L.",82,Catella Real Estate AG,Alemania,Catella Real Estate AG,Alemania,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2016/11/11/pdfs/BORME-A-2016-215-28.pdf,https://www.boe.es/borme/dias/2016/10/13/pdfs/BORME-A-2016-196-28.pdf,NA,NA,NA,NA,NA,NA
B87017638,CATELLA WE 4 SPAIN S.LU,108,Catella Real Estate AG,Alemania,Catella Real Estate AG,Alemania,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2017/09/25/pdfs/BORME-A-2017-183-28.pdf,https://www.boe.es/borme/dias/2016/10/13/pdfs/BORME-A-2016-196-28.pdf,NA,NA,NA,NA,NA,NA
B87071064,CATELLA WE-05 SPAIN S.L.U.,108,Catella Real Estate AG,Alemania,Catella Real Estate AG,Alemania,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2017/09/25/pdfs/BORME-A-2017-183-28.pdf,https://www.boe.es/borme/dias/2016/10/13/pdfs/BORME-A-2016-196-28.pdf,NA,NA,NA,NA,NA,NA
B83437079,"CAVI GESTIÓN, S.L.",62,Cavi Gestión SL,España,Cavi Gestión SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E78040151,"CDAD. PROP.AV. CDAD BARCELONA, LEON GIL PALACIOS Y TELLEZ",72,"Comunidad de Propietarios Avenida Ciudad de Barcelona, León Gil Palacios y Tellez",España,"Comunidad de Propietarios Avenida Ciudad de Barcelona, León Gil Palacios y Tellez",España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
E81422727,"CDAD.PROP.EDIF. CHAMBERI, C.B.",83,Cdad. Prop. Edif. Chamberí CB,España,Cdad. Prop. Edif. Chamberí CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
E81424012,"CDAD.PROP.EDIF.PARQUE DEL OESTE,C.B",58,Comunidad Propietarios Edificio Parque del Oeste CB,España,Comunidad Propietarios Edificio Parque del Oeste CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
A58513631,CEETRUS URBAN PLAYER SPAIN S.A.U,275,Elsimar Beheermaatschappij BV,Países Bajos,Elsimar Beheermaatschappij BV,Países Bajos,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2017/06/14/pdfs/BORME-A-2017-111-28.pdf,https://www.boe.es/borme/dias/2018/11/07/pdfs/BORME-A-2018-214-28.pdf,NA,NA,NA,NA,NA,NA
A28779585,CENTRO COMERCIAL SANTO DOMINGO,50,Centro Comercial Santo Domingo,España,Centro Comercial Santo Domingo,España,Empresa privada,NA,Centros comerciales y mercados,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86791936,"CENTROS COMERCIALES LUALCA 2013, S.L.",132,Centros Comerciales Lualca,España,Centros Comerciales Lualca,España,Empresa privada,NA,Centros comerciales y mercados,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82471459,CENTROS COMERCIALES RAÍCES 3000 SL,64,Centros Comerciales Raíces 3000 SL,España,Centros Comerciales Raíces 3000 SL,España,Empresa privada,NA,Centros comerciales y mercados,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28020857,"CIA GRAL CONSTRUCCIÓN Y ARRIENDOS, S.A.",220,Cia Gral de Construcción y Arriendos,España,Cia Gral de Construcción y Arriendos,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B88204243,"CIOHSA LOCALES, S.L.U.",83,Framtid Inversiones SL,España,Framtid Inversiones SL,España,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2018/10/30/pdfs/BORME-A-2018-209-28.pdf,NA,NA,NA,NA,NA,NA,NA
A79092474,CIRONA S.A.,51,Cirona SA,España,Cirona SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86563038,"CITYFLAT GLOBAL SAREZ GROUP, S.L.",64,Cityflat Global Sarez Group SL,España,Cityflat Global Sarez Group SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B93742823,"COJASWINVEST, S.L.",58,Cojaswinvest SL,España,Cojaswinvest SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B83431304,"COMPAÑIA EUROPEA DE ARRENDAMIENTOS URBANOS SAN SEBASTIAN DE LOS REYES,",89,CBRE,Estados Unidos,CBRE ERIF Master Holding SARL,Luxemburgo,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2023/02/10/pdfs/BORME-A-2023-29-28.pdf,https://www.boe.es/borme/dias/2023/01/24/pdfs/BORME-A-2023-16-28.pdf,https://www.boe.es/borme/dias/2022/12/09/pdfs/BORME-A-2022-233-28.pdf,https://civio.box.com/s/t6iivvmxb8gim8ryj58flzi46ggnzf18,https://civio.box.com/s/lfq52fqycg5xqeddqmunyc04kzbstuqv,https://civio.box.com/s/82q8z8gevhgttblqnz6rpi3j9wbk8mvu,https://www.cbre.es/about-us/global-web-privacy-and-cookie-policy/joint-controllers,NA
