nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
1,"Helena Braun, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",18/10/2018,"Brussels, BERL",discussion on Plastics Strategy,"GLOBAL 2000, Friends of the Earth Austria",FALSE,,,
2,"Vytenis Andriukaitis, Commissioner;Nathalie Chaze, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,20/04/2018,Brussels,General Food Law,"GLOBAL 2000, Friends of the Earth Austria",FALSE,,,
3,"Leon Delvaux, Cabinet member of Jean-Claude Juncker",President,6/04/2018,Brussels,Neonicotinoids,"GLOBAL 2000, Friends of the Earth Austria",FALSE,,,
1,"Daniel Calleja Crespo, Director-General",Director-General of Environment (ENV),13/06/2019,Brussels,"CAP, large carnivores, NEC Directive",Landwirtschaftskammer Österreich (LKÖ),FALSE,,,
2,"Peter Wehrheim, Cabinet member of Phil Hogan",Agriculture & Rural Development,22/02/2018,Brussels,Future of the Common Agriculture Policy,Landwirtschaftskammer Österreich (LKÖ),FALSE,,,
3,"Maroš Šefčovič, Vice-President",Energy Union,4/12/2014,Brussels,Energy and Climate Policy,Landwirtschaftskammer Österreich (LKÖ),FALSE,,,
1,"Helena Braun, Cabinet member of Frans Timmermans",European Green Deal,5/02/2021,video-call,Implementation of the Single-use Plastics Directive,Lenzing AG (Lenzing),FALSE,,,
1,"Heidi Jern, Cabinet member of Jyrki Katainen;Juho Romakkaniemi, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",9/07/2015,Brussels,Green growth,Naturefriends International (NFI),FALSE,,,
1,"Christiane Kirketerp De Viron, Cabinet member of Johannes Hahn",Budget and Administration,28/04/2020,Conference call,Health passport,Österreichische Staatsdruckerei Holding AG (OeSD),TRUE,,,
1,"Christoph Nerlich, Cabinet member of Nicolas Schmit;Nicolas Schmit, Commissioner;Anouk Faber, Cabinet member of Nicolas Schmit",Jobs and Social Rights,12/05/2020,Videoconference,"Online event ÖGB ""Wie Europa jetzt gemeinsam Arbeitsplätze sichern kann""",Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
2,"Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,28/01/2020,Brussels,"European Semester, European Pillar of Social Rights, Iniciative on minimum wage",Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
3,"Margrethe Vestager, Executive Vice-President",Europe Fit for Digital Age,4/12/2019,Brussels,Competition policy,Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
4,"Joost Korte, Director-General","Director-General of Employment, Social Affairs and Inclusion(EMPL)",22/10/2018,Brussels,"Meeting with the President of the Austrian Trade Union Federation (ÖGB), Wolfgang Katzian to discuss key issues under the Austrian EU- Presidency",Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
5,"Joost Korte, Director-General","Director-General of Employment, Social Affairs and Inclusion(EMPL)",22/10/2018,Brussels,"Joint ÖGB-ETUC invitation to panel debate: ""Midway through the Austrian EU- Presidency""",Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
6,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",31/01/2018,Brussels,"Wage and Social dumping at Austria’s border regions, social security, posted workers",Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
7,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",19/06/2017,"Brussels, Belgium","Posting of workers, social security coordination",Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
8,"Christian Linder, Cabinet member of Maroš Šefčovič",Energy Union,30/06/2015,Brussels,Energy Union; role of social partners,Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
9,"Christian Linder, Cabinet member of Maroš Šefčovič",Energy Union,3/03/2015,Brussels,Energy Union,Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
10,"Stefaan Hermans, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",4/02/2015,"Brussels, Belgium",Social and employment priorities of the European Commission,Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
11,"Maroš Šefčovič, Vice-President",Energy Union,4/12/2014,Brussels,Energy and Climate Policy,Österreichischer Gewerkschaftsbund (ÖGB),FALSE,,,
1,"Stefanie Hiesinger, Cabinet member of Frans Timmermans",European Green Deal,5/02/2021,video-call,"Presentation of the project “Zukunftsplatform”, translating the Green Deal vision in the area of energy into practice",pantarhei corporate advisors (pantarhei),FALSE,,,
2,"Maria Asenius, Cabinet member of Cecilia Malmström;Nele Eichhorn, Cabinet member of Cecilia Malmström",Trade,20/11/2018,Brussels,Methods to achieve access to minerals / sustainability policy,pantarhei corporate advisors (pantarhei),FALSE,,,
3,"Juho Romakkaniemi, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",8/11/2016,Brussels,EU Industry and Energy policy,pantarhei corporate advisors (pantarhei),FALSE,,,
4,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,19/04/2016,Brussels,Intelectual Property protection in China,pantarhei corporate advisors (pantarhei),FALSE,,,
5,"Kilian Gross, Cabinet member of Günther Oettinger",Digital Economy and Society,18/02/2016,Brussels,postal operators in the e-commerce market,pantarhei corporate advisors (pantarhei),FALSE,,,
6,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,3/12/2014,Berlaymont 8th floor,Introduction to company activity in Bulgaria,pantarhei corporate advisors (pantarhei),FALSE,,,
1,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",15/01/2016,Brussels,Sport policy,Red Bull GmbH,FALSE,,,
1,"Jean-Eric Paquet, Director-General",Director-General of Research and Innovation(RTD),3/12/2020,Brussels,Podcast,"The Institute of Electrical and Electronics Engineers, Incorporated (IEEE)",FALSE,,,
2,"Thibaut Kleiner, Cabinet member of Günther Oettinger",Digital Economy and Society,30/09/2016,Brussels,e-Health developments around data,"The Institute of Electrical and Electronics Engineers, Incorporated (IEEE)",TRUE,,,
1,"Arunas Vinciunas, Cabinet member of Vytenis Andriukaitis;Paula Duarte Gaspar, Cabinet member of Vytenis Andriukaitis;Vytenis Andriukaitis, Commissioner",Health & Food Safety,2/03/2017,Brussels,Towards a renewed EU Alcohol and Health Forum,United European Gastroenterology (UEG),TRUE,,,
2,"Paula Duarte Gaspar, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,2/06/2015,Brussels,"Co-operation on the management of chronic diseases, the burden of Gastroenterologic diseases. EU and UEG action.",United European Gastroenterology (UEG),FALSE,,,
1,"Kyriacos Charalambous, Cabinet member of Johannes Hahn",European Neighbourhood Policy & Enlargement Negotiations,21/02/2019,Brussels,to discuss Western Balkan insurance market,Verband der Versicherungsunternehmen Österreichs - Austrian Insurance Association (VVO),FALSE,,,
1,"Jerzy Bogdan Plewa, Director-General",Director-General of Agriculture and Rural Development (AGRI),26/09/2018,Brussels,Exchange of views on soja,Verein zur Förderung der europäischen Sojaproduktion Donau Soja (Verein Donau Soja),FALSE,,,
1,"Camilla Bursi, Cabinet member of Virginijus Sinkevičius;Eglantine Cujo, Cabinet member of Virginijus Sinkevičius","Environment, Oceans and Fisheries",2/03/2021,Virtual,Wildlife & tigers trade,VIER PFOTEN International (FOUR PAWS),FALSE,,,
2,"Marco Valletta, Cabinet member of Vytenis Andriukaitis;Vytenis Andriukaitis, Commissioner;Arunas Vinciunas, Cabinet member of Vytenis Andriukaitis;Arunas Ribokas, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,30/01/2015,Brussels,"The Food Chain, Innovation and Challenges, Food Information to Consumers, Nutrition, and Food Waste, Animal Healt, Animal Welfare and Plant Healt",VIER PFOTEN International (FOUR PAWS),FALSE,,,
1,"Valeria Miceli, Cabinet member of Ursula von der Leyen",President,9/03/2021,virtual,Digital green certificates Austrian post Covid-19 recovery and RRP Sustainable finance and taxonomy Industrial strategy and the role of SMEs,Wirtschaftskammer Österreich (WKÖ),TRUE,,,
2,"David Mueller, Cabinet member of Johannes Hahn",Budget and Administration,27/01/2021,Conference Call,Speaker at WKÖ Wirtschaftsclub: Multiannual Financial Framework 2021-2027,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
3,"Barbara Herbolzheimer, Cabinet member of Johannes Hahn",Budget and Administration,8/10/2020,Brussels,Recovery. Wirtschaftsentwicklung.,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
4,"Camilla Bursi, Cabinet member of Virginijus Sinkevičius","Environment, Oceans and Fisheries",15/06/2020,VC meeting,VC meeting with Cross- Industry Initiative (CII) to discuss the REACH /OSH interface and Improving the RMOA process – a tool for achieving the Chemical Strategy objectives,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
5,"Frauke Hoss, Cabinet member of Maroš Šefčovič",Interinstitutional Relations and Foresight,17/04/2020,Brussels,Chemicals strategy for sustainability,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
6,"Alexandra Cupsan-Catalin, Cabinet member of Ylva Johansson;Ylva Johansson, Commissioner;Raul Hernandez Sagrera, Cabinet member of Ylva Johansson",Home Affairs,2/03/2020,Brussels,Consultations on the New Pact on Migrations,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
7,"Johannes Hahn, Commissioner",Budget and Administration,3/12/2019,Brussels,Exchange on the Alpen Adria Macro programme,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
8,"Florentine Hopmeier, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",5/04/2019,Brussels,Investment Plan and next steps,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
9,"Maximilian Strotmann, Cabinet member of Andrus Ansip",Digital Single Market,19/03/2019,Brussels,Presentation of DSM,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
10,"Kilian Gross, Cabinet member of Günther Oettinger;Michael Hager, Cabinet member of Günther Oettinger",Budget & Human Resources,4/02/2019,Brussels,MFF,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
11,"Eduard Hulicius, Cabinet member of Věra Jourová;Renate Nikolay, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",4/02/2019,"Brussels, Belgium",consumer protection and gender policies,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
12,"Maximilian Strotmann, Cabinet member of Andrus Ansip",Digital Single Market,11/01/2019,Brussels,"ePrivacy, AI, open data",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
13,"Maximilian Strotmann, Cabinet member of Andrus Ansip",Digital Single Market,26/11/2018,Brussels,"DSM, geoblocking, data, security, startups",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
14,"Christoph Nerlich, Cabinet member of Marianne Thyssen;Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",11/10/2018,Brussels,"European Labour Authority, transparent and predictable working conditions, coordination of social security system and work-life balance",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
15,"Günther Oettinger, Commissioner",Budget & Human Resources,10/10/2018,Brussels,MFF,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
16,"Matej Zakonjsek, Cabinet member of Violeta Bulc",Transport,8/10/2018,Brussels,Mobility package,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
17,"Günther Oettinger, Commissioner",Budget & Human Resources,4/09/2018,Brussels,"Single Market, InvestEU, Industrial Policy",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
18,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,6/06/2018,Brussels,Long term strategy,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
19,"Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",23/05/2018,Brussels,Future of Europe and EU trade policy,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
20,"Florentine Hopmeier, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",11/01/2018,Brussels,Investment Plan and financial instruments post-2020,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
21,"Markus Schulte, Cabinet member of Günther Oettinger",Budget & Human Resources,20/11/2017,Brussels,MFF,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
22,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",19/06/2017,"Brussels, Belgium","Posting of workers, social security coordination",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
23,"Johannes Laitenberger, Director-General",Director-General of Competition (COMP),26/04/2017,Brussels,To discuss competition trends,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
24,"Christian Burgsmueller, Cabinet member of Cecilia Malmström",Trade,15/03/2017,Brussels,"CETA, JAPAN, Mercosur, Mexiko",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
25,"Emma Udwin, Cabinet member of Johannes Hahn",European Neighbourhood Policy & Enlargement Negotiations,2/03/2017,Brussels,Natura 2000,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
26,"Michael Karnitschnig, Cabinet member of Johannes Hahn",European Neighbourhood Policy & Enlargement Negotiations,2/02/2017,Brussels,Economic policy issues,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
27,"Cecilia Malmström, Commissioner",Trade,28/09/2016,Brussels,Trade policy; TTIP; CETA (panel),Wirtschaftskammer Österreich (WKÖ),FALSE,,,
28,"Christian Burgsmueller, Cabinet member of Cecilia Malmström;Maria Asenius, Cabinet member of Cecilia Malmström",Trade,27/09/2016,Brussels,TTIP / CETA,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
29,"Günther Oettinger, Commissioner",Digital Economy and Society,9/09/2016,Linz,digitisation of industry,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
30,"Michael Karnitschnig, Cabinet member of Johannes Hahn",European Neighbourhood Policy & Enlargement Negotiations,12/07/2016,Brussels,Exchange of views on Economic Policy and Enlargement,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
31,"Yvon Slingenberg, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,18/11/2015,Brussels,ETS revision,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
32,"Christian Burgsmueller, Cabinet member of Cecilia Malmström",Trade,20/10/2015,Brussels,TTIP,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
33,"Sebastian Kuck, Cabinet member of Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union",30/07/2015,"Belgium, Brussels, BERL",Capital Markets Union,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
34,"Joao Aguiar Machado, Director-General",Director-General of Mobility and Transport(MOVE),1/07/2015,Brussels,Mid-term review of the White Paper on transport / Social legislation relating to transport,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
35,"Simona Constantin, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",12/03/2015,"Brussels, Belgium","Package Travel Directive, Data protection, Digital Contracts",Wirtschaftskammer Österreich (WKÖ),FALSE,,,
36,"Maroš Šefčovič, Vice-President",Energy Union,4/12/2014,Brussels,Energy and Climate Policy,Wirtschaftskammer Österreich (WKÖ),FALSE,,,
1,"Diederik Samsom, Cabinet member of Frans Timmermans",European Green Deal,8/12/2020,videoconference (Brussels),Online discussion with #SustainablePublicAffairs - Iron and steel in EU Green Deal,#SustainablePublicAffairs (#Sustainable),FALSE,,,
2,"Jori Keijsper, Cabinet member of Frans Timmermans",European Green Deal,27/11/2020,Brussels - video conference,Introduction to Sustainable Public Affairs,#SustainablePublicAffairs (#Sustainable),FALSE,,,
1,"Deša Srsen, Cabinet member of Dubravka Šuica;Astrid Dentler, Cabinet member of Dubravka Šuica",Democracy and Demography,1/09/2020,Brussels/online,Webinar on Report on the Impact of Demographic Change; Green Paper on Ageing; Long-term vision for rural areas,Active Assisted Living Programme (AAL),FALSE,,,
2,"Astrid Dentler, Cabinet member of Dubravka Šuica",Democracy and Demography,25/03/2020,Brussels,"Commission work on demography, including the Green Paper on Ageing and the Long-term vision on rural areas - Work of AAL, in particular regarding projects on social inclusion and health care, assistance of elderly in remote areas, cooperation with Member States and regions in this area",Active Assisted Living Programme (AAL),TRUE,,,
1,"Robert Madelin, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",3/06/2015,Brussels,New College and Better Regulation,acumen public affairs,FALSE,,,
1,"Joshua Salsby, Cabinet member of Violeta Bulc;Matej Zakonjsek, Cabinet member of Violeta Bulc",Transport,13/09/2018,Brussels,Working conditions in aviation,ACV Puls,FALSE,,,
2,"Inge Bernaerts, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",13/09/2018,Brussels,Working conditions in aviation,ACV Puls,FALSE,,,
1,"Dominique Ristori, Director-General",Director-General of Energy(ENER),4/12/2018,"Brussels, Belgium",energy market developments and the role of technologies for accelerating clean energy transition,ADS Insight (ADS Insight),FALSE,,,
2,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc;Matej Zakonjsek, Cabinet member of Violeta Bulc",Transport,31/05/2016,Brussels,digitalisation of the maritime sector and follow- up to COP 21,ADS Insight (ADS Insight),FALSE,,,
3,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,29/04/2016,Brussels,"Swedish ferrys, maritime and passengers security",ADS Insight (ADS Insight),FALSE,,,
4,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,10/02/2015,Brussels Belguim,Meeting Ship Safety needs,ADS Insight (ADS Insight),FALSE,,,
1,"Eszter Batta, Cabinet member of Thierry Breton;Pauline Weinzierl, Cabinet member of Thierry Breton",Internal Market,2/02/2021,Videoconference,Resilience of the EU pharmaceutical supply chain,Affordable Medicines Europe,TRUE,,,
2,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska;Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",28/08/2018,BRUSSELS,pharma sector - medicines,Affordable Medicines Europe,TRUE,,,
3,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,18/07/2018,"Brussels, Belgium",Parallel import of medicines,Affordable Medicines Europe,TRUE,,,
4,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,13/10/2017,Brussels,Parallel trade,Affordable Medicines Europe,TRUE,,,
5,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",8/12/2016,Brussels,new export ban list Poland,Affordable Medicines Europe,TRUE,,,
6,"Vytenis Andriukaitis, Commissioner;Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,11/07/2016,Brussels,Shortages of medicines,Affordable Medicines Europe,TRUE,,,
7,"Ladislav Miko, Director-General",Director-General of Health and Food Safety (SANTE),18/05/2015,Brussels,Trade in drugs,Affordable Medicines Europe,TRUE,,,
8,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,6/03/2015,Brussels,Falsified medicines,Affordable Medicines Europe,TRUE,,,
1,"Tommy De Temmerman, Cabinet member of Mairead McGuinness","Financial services, financial stability and Capital Markets Union",10/02/2021,Virtual Presentation,Basel III,Afore Consulting,FALSE,,,
2,"Mairead McGuinness, Commissioner","Financial services, financial stability and Capital Markets Union",2/02/2021,Video Conferencing,FinTech & Regulations,Afore Consulting,FALSE,,,
3,"Tommy De Temmerman, Cabinet member of Mairead McGuinness","Financial services, financial stability and Capital Markets Union",13/01/2021,Virtual call,Courtesy call and Presentation of AFORE,Afore Consulting,FALSE,,,
4,"Andrea Beltramello, Cabinet member of Valdis Dombrovskis",An Economy that Works for People,10/02/2020,"Brussels, Belgium",SUSTAINABLE FINANCE; DIGITAL FINANCE,Afore Consulting,FALSE,,,
5,"Filomena Chirico, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",28/02/2018,Brussels,Scaling up in Europe,Afore Consulting,FALSE,,,
6,"Valdis Dombrovskis , Vice-President","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",30/11/2017,Hong Kong,"Speech at Afore /AFISMA forum dinner on growth and investment in Europe, Fintech and sustainable finance",Afore Consulting,FALSE,,,
7,"Elina Melngaile, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",7/11/2017,Brussels,payment innovation,Afore Consulting,FALSE,,,
8,"Paulina Dejmek Hack, Cabinet member of Jean-Claude Juncker",President,11/10/2017,Brussels,High-level dinner on the Future of Europe,Afore Consulting,FALSE,,,
9,"Paulina Dejmek Hack, Cabinet member of Jean-Claude Juncker",President,30/05/2017,Brussels,Working dinner on green finance,Afore Consulting,FALSE,,,
10,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,29/11/2016,Brussels,Trade financing,Afore Consulting,FALSE,,,
11,"Vasiliki Kokkori, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",4/10/2016,BERL,Income Protection Gap,Afore Consulting,FALSE,,,
